mu1,mu2,mu3,s1,s2,s3,s4,s5,s6,s7,s8,s9,a1,b1,a2,b2,a3,b3
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,104.149,654.457,77.3859,652.931
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,90.0177,648.112,79.5182,661.865
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.7409,643.5,78.9758,659.604
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,87.5815,639.282,77.4009,652.994
0.0797741,0.0934648,0.0699987,0.000130571,-3.89351e-05,-7.81479e-06,-3.89351e-05,0.000147998,-1.22977e-06,-7.81479e-06,-1.22977e-06,0.0001193,48.7392,610.965,67.178,701.818,42.3179,596.987
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,80.1599,783.673,81.8702,789.681
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,76.7479,766.813,78.3358,772.447
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,57.3412,744.241,77.4774,768.204
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,89.5074,646.273,77.7399,654.423
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,57.4173,744.735,77.4188,767.913
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,89.0733,644.703,79.3142,661.016
0.1004,0.0771297,0.100806,0.000131625,-1.0727e-05,-6.66909e-06,-1.0727e-05,0.000104398,-8.93736e-06,-6.66909e-06,-8.93736e-06,0.000132493,76.5816,762.768,55.8918,734.774,75.9813,760.75
0.0771297,0.1004,0.100806,0.000104398,-1.0727e-05,-8.93736e-06,-1.0727e-05,0.000131625,-6.66909e-06,-8.93736e-06,-6.66909e-06,0.000132493,56.9838,738.805,76.7142,766.645,78.9835,775.634
0.13849,0.159452,0.119135,0.000214763,-1.05868e-05,-1.80856e-05,-1.05868e-05,0.000243683,-1.77485e-05,-1.80856e-05,-1.77485e-05,0.000184473,89.3049,644.849,103.79,653.326,78.644,658.217
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,88.6105,643.027,75.2394,643.812
0.0870986,0.0867554,0.0644897,0.000128865,-2.8717e-05,-6.34592e-06,-2.8717e-05,0.000128615,-3.20145e-06,-6.34592e-06,-3.20145e-06,0.000108749,58.8693,675.893,67.2171,741.611,39.5397,604.336
0.159452,0.13849,0.119135,0.000243683,-1.05868e-05,-1.77485e-05,-1.05868e-05,0.000214763,-1.80856e-05,-1.77485e-05,-1.80856e-05,0.000184473,104.337,654.344,87.9759,640.72,78.5093,657.653
