n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.11523342,5,6,0.042101018,3,5,0.1015245,4,5,0.082333763,1,6,0.091418792,-3363.9167,8.6522299,-0.080420366,-3355.1841
2,6,0.12468064,5,6,0.038170745,3,5,0.083125347,4,5,0.092633221,1,6,0.1146383,-3361.6184,9.0649651,-0.73652481,-3351.8169
2,6,0.13594668,5,6,0.039927822,3,5,0.10694464,4,5,0.083563556,1,6,0.079486665,-3374.6323,8.9173873,-1.5601425,-3364.1548
2,6,0.12500949,5,6,0.036620032,3,5,0.080051897,4,5,0.10212077,1,6,0.12640353,-3362.2723,9.4041144,-1.4320588,-3351.4361
2,6,0.10748867,5,6,0.045782289,3,5,0.093181361,4,5,0.077385559,1,6,0.11850638,-3359.6385,8.8468851,-0.34982731,-3350.4418
2,6,0.12115854,5,6,0.047861694,3,5,0.091217426,4,5,0.072400184,1,6,0.11010267,-3364.8314,8.8548103,-0.12363272,-3355.853
2,6,0.12917619,5,6,0.041932399,3,5,0.083007633,4,5,0.09225541,1,6,0.07438582,-3372.3032,8.4151491,-1.1981102,-3362.69
2,6,0.1259703,5,6,0.048719503,3,5,0.093022134,4,5,0.095050479,1,6,0.11376903,-3365.0397,9.5306289,-0.40013874,-3355.1089
2,6,0.13279162,5,6,0.034909972,3,5,0.090260348,4,5,0.09506849,1,6,0.088987137,-3367.7603,8.8403513,-0.75927226,-3358.1607
2,6,0.10563744,5,6,0.046369163,3,5,0.080018857,4,5,0.09978649,1,6,0.11660813,-3358.0831,8.9684016,-0.4736805,-3348.641
2,6,0.13354805,5,6,0.036902738,3,5,0.097239275,4,5,0.10000482,1,6,0.11560864,-3365.8922,9.6660704,-1.5787507,-3354.6474
2,6,0.11074041,5,6,0.040719279,3,5,0.08423408,4,5,0.084457266,1,6,0.10331806,-3358.8442,8.4693818,-0.21237112,-3350.1624
2,6,0.1234233,5,6,0.067948968,3,5,0.080985762,4,5,0.1028207,1,6,0.089965979,-3373.3866,9.3028942,-3.2137856,-3360.8699
2,6,0.12707395,5,6,0.046257442,3,5,0.10177955,4,5,0.096771802,1,6,0.12264056,-3366.2653,9.8904662,-0.6439105,-3355.7309
