mu1,mu2,s1,s2,s3,s4,a1,b1,a2,b2
0.0466328,0.0382972,1.89164e-05,-1.42878e-06,-1.42878e-06,4.63281e-05,68.3497,101.696,32.2791,835.689
0.0337436,0.0821469,3.48366e-05,-8.52016e-07,-8.52016e-07,8.76987e-05,23.8687,67.328,77.0178,937.239
0.0747919,0.120922,3.18088e-05,2.02459e-06,2.02459e-06,0.000140709,51.3126,21.5528,103.894,859.674
0.056644,0.0359956,2.37031e-05,-2.3246e-07,-2.3246e-07,4.6754e-05,71.8525,82.4202,27.6775,769.422
0.0621476,0.0337093,2.26543e-05,5.39914e-08,5.39914e-08,4.52153e-05,80.3741,72.578,25.1187,745.343
0.0871135,0.120347,4.55404e-05,2.22021e-06,2.22021e-06,0.000142601,50.9581,22.888,101.257,842.978
0.0651848,0.0372614,2.4155e-05,1.14911e-07,1.14911e-07,4.52973e-05,82.1578,72.8749,30.6456,822.528
0.0869558,0.0350161,3.00481e-05,1.89246e-06,1.89246e-06,4.60686e-05,101.282,68.8985,26.6806,762.005
0.119004,0.0801295,3.74976e-05,5.97629e-06,5.97629e-06,8.74478e-05,82.0336,23.0398,72.2839,914.164
0.0928555,0.0825447,3.31594e-05,7.52355e-07,7.52355e-07,8.77997e-05,68.7402,25.0624,77.8297,941.604
0.0812606,0.120139,3.75696e-05,2.33729e-06,2.33729e-06,0.000140466,51.8364,22.1009,103.202,857.599
0.0228167,0.0819749,1.96144e-05,-3.43252e-06,-3.43252e-06,8.67874e-05,20.7768,78.4809,78.1086,951.983
0.110719,0.0803054,3.20785e-05,5.22452e-06,5.22452e-06,8.66629e-05,82.5266,23.0063,75.5281,938.168
0.0259754,0.0834791,2.55962e-05,-5.66658e-07,-5.66658e-07,8.80568e-05,19.7524,62.0341,78.823,946.185
0.0699745,0.121421,2.77609e-05,1.80995e-06,1.80995e-06,0.000140525,52.2771,22.4427,104.336,862.031
0.0524294,0.035859,1.98754e-05,-9.40462e-08,-9.40462e-08,4.52492e-05,72.7532,81.8573,28.4324,792.69
0.0510901,0.0362013,1.91091e-05,-1.52783e-07,-1.52783e-07,4.61149e-05,72.3021,82.4339,28.3262,783.754
0.0478833,0.0353843,1.67313e-05,-1.18902e-07,-1.18902e-07,4.57425e-05,72.3839,82.158,27.3454,773.19
0.044406,0.115849,5.74505e-05,-4.33476e-06,-4.33476e-06,0.000136352,23.6614,54.7295,99.3527,854.635
0.114983,0.0812387,3.59805e-05,5.66509e-06,5.66509e-06,8.89399e-05,77.9008,21.2277,77.2118,936.445
0.0535113,0.0367932,2.08489e-05,-1.3977e-07,-1.3977e-07,4.57614e-05,72.5684,82.4195,29.6347,804.739
0.137843,0.0780532,4.99057e-05,7.81229e-06,7.81229e-06,8.76561e-05,80.8989,22.0976,70.9481,906.004
0.0463508,0.0374502,1.84372e-05,-1.33031e-06,-1.33031e-06,4.57643e-05,68.9631,101.445,30.6829,819.673
0.0443005,0.037908,1.68119e-05,-1.24648e-06,-1.24648e-06,4.57244e-05,69.0581,101.477,31.3408,828.744
0.046035,0.116223,6.06136e-05,-4.4472e-06,-4.4472e-06,0.000137316,24.026,54.9775,97.4377,843.374
0.0468266,0.116914,6.22548e-05,-4.14621e-06,-4.14621e-06,0.00013891,24.0842,54.2419,98.7024,843.781
0.135518,0.0777442,4.76147e-05,7.51109e-06,7.51109e-06,8.65326e-05,84.1937,23.7894,70.8756,911.281
0.0792427,0.0939705,3.0447e-05,1.51397e-07,1.51397e-07,9.99925e-05,59.7371,24.7657,88.2372,939.385
0.0415248,0.0385417,1.47431e-05,-1.1416e-06,-1.1416e-06,4.56876e-05,69.1604,101.52,31.9042,836.461
0.111767,0.081037,4.90586e-05,1.30122e-06,1.30122e-06,8.91243e-05,64.4973,22.2182,74.1429,912.265
0.0341709,0.0814925,3.37319e-05,-8.62402e-07,-8.62402e-07,8.65597e-05,25.08,68.5936,76.9577,943.025
0.0359687,0.0916464,4.04384e-05,-5.79572e-07,-5.79572e-07,9.90292e-05,22.754,58.5012,84.929,926.114
0.100336,0.0814721,3.86673e-05,1.03036e-06,1.03036e-06,8.73786e-05,68.8306,25.0956,76.0407,933.015
0.082272,0.0367859,2.67792e-05,1.7217e-06,1.7217e-06,4.58289e-05,101.914,69.5313,29.7787,807.065
0.0488095,0.0370034,2.06608e-05,-1.48085e-06,-1.48085e-06,4.60276e-05,68.4415,101.407,29.6324,803.295
0.0490113,0.11493,7.3144e-05,-5.27028e-06,-5.27028e-06,0.000137734,22.7405,53.4504,97.2992,841.652
0.0801161,0.0365344,2.54735e-05,1.64938e-06,1.64938e-06,4.58702e-05,101.651,69.4157,28.2021,785.021
0.122041,0.0796347,3.91685e-05,6.23874e-06,6.23874e-06,8.71237e-05,82.8482,23.3577,74.2475,928.461
0.147231,0.077867,5.78051e-05,8.94313e-06,8.94313e-06,8.83247e-05,82.9847,23.8665,71.2357,905.183
0.0358559,0.091327,3.70187e-05,-4.86324e-07,-4.86324e-07,9.81554e-05,24.486,60.9203,84.9443,930.303
0.0888548,0.11886,4.41985e-05,2.92412e-06,2.92412e-06,0.000139411,52.501,22.2697,102.436,857.787
0.0506034,0.115873,7.58686e-05,-4.89639e-06,-4.89639e-06,0.000139757,23.1725,52.9469,96.199,830.598
0.0427795,0.0393284,1.57197e-05,-1.23272e-06,-1.23272e-06,4.59102e-05,69.0177,101.946,34.4161,866.73
0.0766576,0.0945063,2.87104e-05,5.74994e-08,5.74994e-08,0.000100927,55.2108,20.7634,88.515,936.496
0.113303,0.0804007,4.96472e-05,1.47802e-06,1.47802e-06,8.78726e-05,69.1626,25.6191,73.7143,916.132
0.0493255,0.0361439,1.78e-05,-1.39961e-07,-1.39961e-07,4.60723e-05,72.3362,82.4382,28.3854,784.933
0.08469,0.119567,4.05153e-05,2.59062e-06,2.59062e-06,0.000140031,51.9809,22.0235,102.731,857.029
0.0741449,0.120068,3.01599e-05,2.26072e-06,2.26072e-06,0.000138478,53.228,22.3671,103.942,866.902
0.0495668,0.034473,1.7987e-05,-1.38856e-07,-1.38856e-07,4.57975e-05,72.1576,81.9269,25.9757,753.126
0.096148,0.0357485,3.6962e-05,2.14871e-06,2.14871e-06,4.69708e-05,101.49,69.9909,27.7461,769.6
0.031285,0.0824783,3.25798e-05,-7.76838e-07,-7.76838e-07,8.78861e-05,22.1651,65.1891,77.2683,937.748
0.0841533,0.0354402,2.80639e-05,1.8139e-06,1.8139e-06,4.59593e-05,101.392,68.7744,26.5879,761.571
0.0858421,0.0928851,3.52543e-05,4.27378e-07,4.27378e-07,9.89404e-05,63.2488,27.8769,87.2275,938.969
0.0716786,0.12129,2.92261e-05,1.86336e-06,1.86336e-06,0.000140642,52.1717,22.4396,105.238,865.391
0.0602247,0.0356594,2.67189e-05,-2.39272e-07,-2.39272e-07,4.63314e-05,71.9099,82.1298,27.4865,770.251
0.0589024,0.0315412,2.02409e-05,9.97863e-08,9.97863e-08,4.5037e-05,80.4685,72.0865,22.1237,700.885
0.0563704,0.0363009,2.32281e-05,-1.74423e-07,-1.74423e-07,4.59239e-05,72.3317,82.2757,28.697,790.506
0.0820941,0.0368357,2.67648e-05,1.69282e-06,1.69282e-06,4.59778e-05,101.813,69.7899,30.0772,809.75
0.0954542,0.0344406,3.57912e-05,2.29863e-06,2.29863e-06,4.61943e-05,101.531,68.0199,25.6138,745.826
0.0449612,0.116753,5.92084e-05,-4.15605e-06,-4.15605e-06,0.000138157,23.5052,54.1502,99.1332,847.973
0.0567315,0.0356712,2.36428e-05,-2.01255e-07,-2.01255e-07,4.61919e-05,72.0654,82.1922,27.5064,771.689
0.0600674,0.034459,2.07708e-05,9.93449e-08,9.93449e-08,4.51882e-05,81.3504,72.5345,26.2311,761.9
0.0238645,0.0837587,2.31282e-05,-5.14042e-07,-5.14042e-07,8.80308e-05,18.5924,60.3907,79.8614,952.532
0.0793045,0.119476,3.45532e-05,2.54334e-06,2.54334e-06,0.000138517,52.4809,21.6679,103.713,865.881
0.0315209,0.0824415,2.81636e-05,-6.37225e-07,-6.37225e-07,8.66858e-05,25.5144,69.285,78.1355,949.481
0.0248588,0.0816032,2.24496e-05,-3.85146e-06,-3.85146e-06,8.6679e-05,21.4819,79.8978,77.6588,950.167
0.0532552,0.032297,1.66735e-05,3.46572e-08,3.46572e-08,4.49781e-05,80.216,72.483,23.1824,717.924
0.0404897,0.037844,1.3843e-05,-1.0327e-06,-1.0327e-06,4.57249e-05,69.6649,100.951,30.9732,823.726
0.120056,0.0801058,3.82768e-05,6.07854e-06,6.07854e-06,8.77067e-05,81.0129,22.4807,72.5067,914.273
0.0200587,0.0826658,1.7242e-05,-3.15593e-06,-3.15593e-06,8.75613e-05,18.4855,74.2684,79.9183,958.527
0.0235898,0.0820388,2.04456e-05,-3.57743e-06,-3.57743e-06,8.67998e-05,21.2609,79.4556,78.9967,957.451
