n1,n2,bl1,n1,n2,bl2,n1,n2,bl3,n1,n2,bl4,n1,n2,bl5,loglik,logprior,logdens,logweight
2,6,0.072120599,5,6,0.045317009,3,5,0.068967744,4,5,0.094128987,1,6,0.12130349,-3354.9203,8.0367565,16.383081,-3363.2666
2,6,0.091018461,5,6,0.031827613,3,5,0.070564333,4,5,0.11913641,1,6,0.076463258,-3365.9722,7.7802015,16.406364,-3374.5984
2,6,0.092090782,5,6,0.035271501,3,5,0.069714205,4,5,0.081169981,1,6,0.11819223,-3355.298,7.9287741,15.302138,-3362.6713
2,6,0.028971243,5,6,0.054516552,3,5,0.1023001,4,5,0.073690109,1,6,0.082620878,-3393.8714,6.8419777,16.828443,-3403.8579
2,6,0.083680908,5,6,0.030588652,3,5,0.082972422,4,5,0.096342839,1,6,0.11689171,-3352.6563,8.2095307,17.877225,-3362.324
2,6,0.094626094,5,6,0.032830835,3,5,0.099584291,4,5,0.079328344,1,6,0.10519168,-3356.4992,8.2312249,16.311709,-3364.5797
2,6,0.092488252,5,6,0.041284737,3,5,0.10447324,4,5,0.0941811,1,6,0.11266164,-3356.6865,8.9017794,16.872246,-3364.657
2,6,0.10225314,5,6,0.02676959,3,5,0.086519377,4,5,0.10481022,1,6,0.11646461,-3355.8868,8.7363389,16.179046,-3363.3295
2,6,0.086677088,5,6,0.080678698,3,5,0.030398435,4,5,0.056916792,1,6,0.11077663,-3407.0895,7.3089529,14.289619,-3414.0701
2,6,0.07423547,5,6,0.059765511,3,5,0.053617207,4,5,0.0408989,1,6,0.14294954,-3391.1669,7.4293327,17.940732,-3401.6783
2,6,0.040404689,5,6,0.064324695,3,5,0.08359305,4,5,0.088651147,1,6,0.031444339,-3441.697,6.1683584,17.867224,-3453.3958
2,6,0.076242002,5,6,0.034012595,3,5,0.081743579,4,5,0.084385838,1,6,0.10564355,-3353.6772,7.6405513,17.023912,-3363.0606
2,6,0.080205954,5,6,0.024766456,3,5,0.080175886,4,5,0.079141237,1,6,0.12339496,-3354.6345,7.7536899,18.391356,-3365.2722
2,6,0.087978443,5,6,0.027139104,3,5,0.078711924,4,5,0.097706774,1,6,0.13430633,-3353.9406,8.5168516,16.384966,-3361.8087
2,6,0.075624468,5,6,0.068342342,3,5,0.054152727,4,5,0.040074367,1,6,0.12973027,-3393.3545,7.3584836,18.223201,-3404.2192
2,6,0.061345064,5,6,0.068497416,3,5,0.049448183,4,5,0.038242806,1,6,0.13212164,-3400.9172,6.9931021,17.449772,-3411.3739
2,6,0.036615701,5,6,0.080771508,3,5,0.090079724,4,5,0.10874133,1,6,0.082732604,-3390.5529,7.9788174,13.138803,-3395.7129
2,6,0.096784648,5,6,0.031775673,3,5,0.069044649,4,5,0.092893321,1,6,0.13436413,-3355.8617,8.4972485,15.350221,-3362.7147
2,6,0.085111827,5,6,0.025658302,3,5,0.099447317,4,5,0.079390425,1,6,0.11281899,-3355.6792,8.0485372,17.638889,-3365.2696
2,6,0.086572742,5,6,0.028320253,3,5,0.082248254,4,5,0.097702379,1,6,0.11489842,-3353.0817,8.1948409,16.570431,-3361.4573
2,6,0.092875304,5,6,0.041032879,3,5,0.08171156,4,5,0.08572674,1,6,0.108494,-3354.7168,8.1968096,17.661647,-3364.1817
2,6,0.072435395,5,6,0.035536635,3,5,0.096191521,4,5,0.10302303,1,6,0.1117849,-3354.579,8.3794295,15.737103,-3361.9367
2,6,0.091776786,5,6,0.023421377,3,5,0.10271591,4,5,0.078988875,1,6,0.12439137,-3357.001,8.4258864,15.556708,-3364.1318
2,6,0.074794744,5,6,0.016447989,3,5,0.093366671,4,5,0.10158447,1,6,0.086448784,-3363.3993,7.4528532,16.293036,-3372.2395
2,6,0.093165612,5,6,0.036781308,3,5,0.08351802,4,5,0.087254072,1,6,0.11239861,-3353.919,8.2623525,15.808746,-3361.4654
2,6,0.088207197,5,6,0.028803224,3,5,0.083509251,4,5,0.098863965,1,6,0.094995723,-3355.7541,7.8875872,16.859358,-3364.7259
2,6,0.046074488,5,6,0.064049937,3,5,0.069176323,4,5,0.12078556,1,6,0.036814978,-3427.222,6.7380258,17.955063,-3438.4391
2,6,0.079198203,5,6,0.05693967,3,5,0.050500407,4,5,0.061033326,1,6,0.12708627,-3372.9127,7.4951574,14.986889,-3380.4044
2,6,0.070275886,5,6,0.035519239,3,5,0.072698393,4,5,0.10796711,1,6,0.12631076,-3354.4386,8.2554279,17.928504,-3364.1117
2,6,0.10257328,5,6,0.049164939,3,5,0.040616007,4,5,0.06139207,1,6,0.10577877,-3382.2723,7.1905014,17.224447,-3392.3063
2,6,0.072212772,5,6,0.019657463,3,5,0.065659502,4,5,0.11463149,1,6,0.10902979,-3359.9351,7.6238204,14.470748,-3366.782
2,6,0.026155824,5,6,0.052353157,3,5,0.084130533,4,5,0.082268702,1,6,0.082828634,-3394.4403,6.554737,16.490982,-3404.3765
2,6,0.071098352,5,6,0.028979199,3,5,0.080462253,4,5,0.072505795,1,6,0.12179671,-3355.9822,7.4968461,18.063621,-3366.5489
2,6,0.067090017,5,6,0.032264766,3,5,0.1010695,4,5,0.086277083,1,6,0.13967954,-3356.7422,8.5276181,15.640639,-3363.8552
2,6,0.094367067,5,6,0.042206462,3,5,0.072062905,4,5,0.11572545,1,6,0.10565649,-3357.9866,8.6003676,14.710499,-3364.0968
2,6,0.11174651,5,6,0.063035976,3,5,0.030948769,4,5,0.058717963,1,6,0.11395799,-3402.833,7.5681442,16.659881,-3411.9248
2,6,0.070094574,5,6,0.028995798,3,5,0.087598342,4,5,0.093477808,1,6,0.10347898,-3354.5732,7.6729101,15.773094,-3362.6734
2,6,0.12002967,5,6,0.042555109,3,5,0.11077396,4,5,0.089878663,1,6,0.11523222,-3364.3996,9.5693922,16.216727,-3371.047
2,6,0.16311312,5,6,0.059998035,3,5,0.10537112,4,5,0.092403861,1,6,0.11663686,-3385.3774,10.75046,7.5923537,-3382.2193
2,6,0.075769593,5,6,0.028311181,3,5,0.087963655,4,5,0.087009727,1,6,0.15946687,-3357.6836,8.7704205,13.4589,-3362.3721
2,6,0.10525557,5,6,0.032897922,3,5,0.093516442,4,5,0.079146009,1,6,0.12000857,-3357.0398,8.6164902,16.65532,-3365.0787
2,6,0.07831479,5,6,0.023826189,3,5,0.095308386,4,5,0.091653614,1,6,0.13635032,-3355.0892,8.509066,16.97082,-3363.551
2,6,0.024748284,5,6,0.058019784,3,5,0.083548425,4,5,0.073767051,1,6,0.08093363,-3400.868,6.4203435,15.288346,-3409.736
2,6,0.081526406,5,6,0.03005798,3,5,0.082050493,4,5,0.11692429,1,6,0.11997308,-3354.8905,8.6106451,15.436344,-3361.7162
2,6,0.11140847,5,6,0.031418028,3,5,0.071056219,4,5,0.10656271,1,6,0.11148925,-3358.9511,8.6386936,15.224803,-3365.5372
2,6,0.10217857,5,6,0.021544476,3,5,0.08671053,4,5,0.083805424,1,6,0.094209877,-3359.6745,7.7689776,14.862009,-3366.7675
2,6,0.088766114,5,6,0.043639781,3,5,0.071463772,4,5,0.10103104,1,6,0.12248482,-3355.0964,8.5477107,15.162473,-3361.7111
2,6,0.063446345,5,6,0.074320029,3,5,0.071889527,4,5,0.028426565,1,6,0.12279239,-3406.682,7.2174971,14.391403,-3413.8559
2,6,0.10223597,5,6,0.041950238,3,5,0.080502596,4,5,0.087500386,1,6,0.10786908,-3356.4816,8.4011655,16.859156,-3364.9396
2,6,0.12102841,5,6,0.072357253,3,5,0.086214901,4,5,0.090683391,1,6,0.10683476,-3371.7529,9.5423744,13.598645,-3375.8092
2,6,0.084957499,5,6,0.029857416,3,5,0.10587011,4,5,0.077292742,1,6,0.13010175,-3356.8629,8.5615902,16.854872,-3365.1562
2,6,0.063117938,5,6,0.056232059,3,5,0.046702064,4,5,0.03853246,1,6,0.1178454,-3397.9651,6.4485984,17.767933,-3409.2845
2,6,0.10314502,5,6,0.017516627,3,5,0.093486985,4,5,0.094015802,1,6,0.079994946,-3366.4405,7.7631877,15.646674,-3374.324
2,6,0.039230035,5,6,0.069733071,3,5,0.081529215,4,5,0.10802152,1,6,0.042914229,-3421.7202,6.8285615,18.157327,-3433.0489
2,6,0.081144541,5,6,0.02401031,3,5,0.068611012,4,5,0.0902388,1,6,0.13844129,-3355.8643,8.0489191,16.467746,-3364.2831
2,6,0.039280141,5,6,0.057751494,3,5,0.093687009,4,5,0.081040491,1,6,0.099858902,-3373.4309,7.4323607,17.864108,-3383.8626
2,6,0.077644223,5,6,0.026456212,3,5,0.072376178,4,5,0.098492438,1,6,0.075951964,-3363.838,7.0184203,18.106517,-3374.9261
2,6,0.075672065,5,6,0.034833928,3,5,0.10907771,4,5,0.10726617,1,6,0.10568774,-3357.7888,8.6507523,14.610968,-3363.7491
2,6,0.083298643,5,6,0.028858029,3,5,0.078024354,4,5,0.11583715,1,6,0.079332912,-3363.0242,7.7070217,17.37288,-3372.6901
2,6,0.071064913,5,6,0.037745616,3,5,0.085292478,4,5,0.102562,1,6,0.11965907,-3353.5166,8.3264815,17.494893,-3362.685
2,6,0.084348153,5,6,0.040634448,3,5,0.077541958,4,5,0.093483266,1,6,0.091544154,-3356.4759,7.7510396,15.735345,-3364.4602
2,6,0.11482123,5,6,0.026292325,3,5,0.091705094,4,5,0.077425885,1,6,0.1058023,-3360.3838,8.3209366,14.933664,-3366.9965
2,6,0.095078463,5,6,0.026450954,3,5,0.098517847,4,5,0.079748149,1,6,0.070732842,-3368.2684,7.4105651,13.2161,-3374.074
2,6,0.042283239,5,6,0.073733368,3,5,0.067848843,4,5,0.10572508,1,6,0.038677998,-3428.4072,6.5653706,18.553298,-3440.3952
2,6,0.081910651,5,6,0.03258996,3,5,0.096336709,4,5,0.066369756,1,6,0.11804725,-3357.6417,7.9050866,15.78206,-3365.5186
2,6,0.073715642,5,6,0.032491045,3,5,0.070675289,4,5,0.1127967,1,6,0.11154762,-3355.2552,8.0245258,17.791779,-3365.0225
2,6,0.069137909,5,6,0.062546215,3,5,0.059072692,4,5,0.036627143,1,6,0.13563251,-3394.0738,7.2603295,18.402994,-3405.2164
2,6,0.10521845,5,6,0.059669086,3,5,0.030610853,4,5,0.05859786,1,6,0.11110759,-3400.6138,7.3040766,17.876757,-3411.1865
2,6,0.082420797,5,6,0.043820032,3,5,0.061512759,4,5,0.13872234,1,6,0.12833531,-3363.5455,9.0962247,11.486384,-3365.9356
