t logl dlogl ddlogl
0.367 -22.692 -5.13558 4.53289
0.368 -22.6972 -5.13105 4.52982
0.369 -22.7023 -5.12652 4.52675
0.37 -22.7074 -5.12199 4.52368
0.371 -22.7126 -5.11747 4.5206
0.372 -22.7177 -5.11295 4.51751
0.373 -22.7228 -5.10844 4.51441
0.374 -22.7279 -5.10392 4.51131
0.375 -22.733 -5.09941 4.50821
0.376 -22.7381 -5.09491 4.50509
0.377 -22.7432 -5.0904 4.50198
0.378 -22.7483 -5.0859 4.49885
0.379 -22.7533 -5.08141 4.49572
0.38 -22.7584 -5.07691 4.49259
0.381 -22.7635 -5.07242 4.48945
0.382 -22.7686 -5.06793 4.4863
0.383 -22.7736 -5.06345 4.48315
0.384 -22.7787 -5.05897 4.47999
0.385 -22.7838 -5.05449 4.47682
0.386 -22.7888 -5.05001 4.47365
0.387 -22.7939 -5.04554 4.47048
0.388 -22.7989 -5.04107 4.4673
0.389 -22.8039 -5.03661 4.46411
0.39 -22.809 -5.03214 4.46092
0.391 -22.814 -5.02769 4.45772
0.392 -22.819 -5.02323 4.45452
0.393 -22.824 -5.01878 4.45131
0.394 -22.8291 -5.01433 4.44809
0.395 -22.8341 -5.00988 4.44487
0.396 -22.8391 -5.00544 4.44165
0.397 -22.8441 -5.001 4.43842
0.398 -22.8491 -4.99656 4.43518
0.399 -22.8541 -4.99213 4.43194
0.4 -22.8591 -4.9877 4.42869
0.401 -22.8641 -4.98327 4.42544
0.402 -22.869 -4.97885 4.42218
0.403 -22.874 -4.97442 4.41892
0.404 -22.879 -4.97001 4.41565
0.405 -22.884 -4.96559 4.41238
0.406 -22.8889 -4.96118 4.4091
0.407 -22.8939 -4.95678 4.40582
0.408 -22.8988 -4.95237 4.40253
0.409 -22.9038 -4.94797 4.39923
0.41 -22.9087 -4.94357 4.39594
0.411 -22.9137 -4.93918 4.39263
0.412 -22.9186 -4.93479 4.38932
0.413 -22.9235 -4.9304 4.38601
0.414 -22.9285 -4.92602 4.38269
0.415 -22.9334 -4.92163 4.37937
0.416 -22.9383 -4.91726 4.37604
0.417 -22.9432 -4.91288 4.37271
0.418 -22.9481 -4.90851 4.36937
0.419 -22.953 -4.90414 4.36602
0.42 -22.9579 -4.89978 4.36268
0.421 -22.9628 -4.89542 4.35932
0.422 -22.9677 -4.89106 4.35597
0.423 -22.9726 -4.88671 4.35261
0.424 -22.9775 -4.88236 4.34924
0.425 -22.9824 -4.87801 4.34587
0.426 -22.9873 -4.87366 4.34249
0.427 -22.9921 -4.86932 4.33911
0.428 -22.997 -4.86499 4.33573
0.429 -23.0019 -4.86065 4.33234
0.43 -23.0067 -4.85632 4.32894
0.431 -23.0116 -4.85199 4.32554
0.432 -23.0164 -4.84767 4.32214
0.433 -23.0213 -4.84335 4.31873
0.434 -23.0261 -4.83903 4.31532
0.435 -23.0309 -4.83472 4.3119
0.436 -23.0358 -4.83041 4.30848
0.437 -23.0406 -4.8261 4.30506
0.438 -23.0454 -4.8218 4.30163
0.439 -23.0503 -4.8175 4.29819
0.44 -23.0551 -4.8132 4.29476
0.441 -23.0599 -4.80891 4.29131
0.442 -23.0647 -4.80462 4.28787
0.443 -23.0695 -4.80033 4.28442
0.444 -23.0743 -4.79605 4.28096
0.445 -23.0791 -4.79177 4.2775
0.446 -23.0839 -4.7875 4.27404
0.447 -23.0887 -4.78322 4.27057
0.448 -23.0934 -4.77895 4.2671
0.449 -23.0982 -4.77469 4.26363
0.45 -23.103 -4.77043 4.26015
0.451 -23.1078 -4.76617 4.25666
0.452 -23.1125 -4.76191 4.25318
0.453 -23.1173 -4.75766 4.24968
0.454 -23.122 -4.75341 4.24619
0.455 -23.1268 -4.74917 4.24269
0.456 -23.1315 -4.74493 4.23919
0.457 -23.1363 -4.74069 4.23568
0.458 -23.141 -4.73646 4.23217
0.459 -23.1457 -4.73223 4.22866
0.46 -23.1505 -4.728 4.22514
0.461 -23.1552 -4.72378 4.22162
0.462 -23.1599 -4.71956 4.21809
0.463 -23.1646 -4.71534 4.21456
0.464 -23.1694 -4.71113 4.21103
0.465 -23.1741 -4.70692 4.20749
0.466 -23.1788 -4.70271 4.20395
0.467 -23.1835 -4.69851 4.20041
0.468 -23.1882 -4.69431 4.19686
0.469 -23.1929 -4.69012 4.19331
0.47 -23.1975 -4.68593 4.18976
0.471 -23.2022 -4.68174 4.1862
0.472 -23.2069 -4.67755 4.18264
0.473 -23.2116 -4.67337 4.17908
0.474 -23.2163 -4.66919 4.17551
0.475 -23.2209 -4.66502 4.17194
0.476 -23.2256 -4.66085 4.16836
0.477 -23.2302 -4.65668 4.16479
0.478 -23.2349 -4.65252 4.1612
0.479 -23.2396 -4.64836 4.15762
0.48 -23.2442 -4.64421 4.15403
0.481 -23.2488 -4.64005 4.15044
0.482 -23.2535 -4.63591 4.14685
0.483 -23.2581 -4.63176 4.14325
0.484 -23.2627 -4.62762 4.13965
0.485 -23.2674 -4.62348 4.13605
0.486 -23.272 -4.61935 4.13244
0.487 -23.2766 -4.61522 4.12883
0.488 -23.2812 -4.61109 4.12522
0.489 -23.2858 -4.60697 4.12161
0.49 -23.2904 -4.60285 4.11799
0.491 -23.295 -4.59873 4.11437
0.492 -23.2996 -4.59462 4.11074
0.493 -23.3042 -4.59051 4.10712
0.494 -23.3088 -4.5864 4.10349
0.495 -23.3134 -4.5823 4.09985
0.496 -23.318 -4.5782 4.09622
0.497 -23.3226 -4.57411 4.09258
0.498 -23.3271 -4.57002 4.08894
0.499 -23.3317 -4.56593 4.08529
0.5 -23.3363 -4.56185 4.08165
0.501 -23.3408 -4.55777 4.078
0.502 -23.3454 -4.55369 4.07435
0.503 -23.3499 -4.54962 4.07069
0.504 -23.3545 -4.54555 4.06703
0.505 -23.359 -4.54148 4.06337
0.506 -23.3636 -4.53742 4.05971
0.507 -23.3681 -4.53337 4.05605
0.508 -23.3726 -4.52931 4.05238
0.509 -23.3771 -4.52526 4.04871
0.51 -23.3817 -4.52121 4.04504
0.511 -23.3862 -4.51717 4.04136
0.512 -23.3907 -4.51313 4.03768
0.513 -23.3952 -4.5091 4.03401
0.514 -23.3997 -4.50506 4.03032
0.515 -23.4042 -4.50103 4.02664
0.516 -23.4087 -4.49701 4.02295
0.517 -23.4132 -4.49299 4.01926
0.518 -23.4177 -4.48897 4.01557
0.519 -23.4222 -4.48496 4.01188
0.52 -23.4267 -4.48095 4.00818
0.521 -23.4312 -4.47694 4.00448
0.522 -23.4356 -4.47294 4.00078
0.523 -23.4401 -4.46894 3.99708
0.524 -23.4446 -4.46494 3.99338
0.525 -23.449 -4.46095 3.98967
0.526 -23.4535 -4.45697 3.98596
0.527 -23.458 -4.45298 3.98225
0.528 -23.4624 -4.449 3.97854
0.529 -23.4668 -4.44502 3.97482
0.53 -23.4713 -4.44105 3.97111
0.531 -23.4757 -4.43708 3.96739
0.532 -23.4802 -4.43312 3.96367
0.533 -23.4846 -4.42915 3.95995
0.534 -23.489 -4.4252 3.95622
0.535 -23.4934 -4.42124 3.9525
0.536 -23.4979 -4.41729 3.94877
0.537 -23.5023 -4.41334 3.94504
0.538 -23.5067 -4.4094 3.94131
0.539 -23.5111 -4.40546 3.93757
0.54 -23.5155 -4.40153 3.93384
0.541 -23.5199 -4.39759 3.9301
0.542 -23.5243 -4.39367 3.92636
0.543 -23.5287 -4.38974 3.92262
0.544 -23.5331 -4.38582 3.91888
0.545 -23.5375 -4.3819 3.91514
0.546 -23.5418 -4.37799 3.91139
0.547 -23.5462 -4.37408 3.90764
0.548 -23.5506 -4.37018 3.9039
0.549 -23.555 -4.36627 3.90015
0.55 -23.5593 -4.36237 3.89639
0.551 -23.5637 -4.35848 3.89264
0.552 -23.568 -4.35459 3.88889
0.553 -23.5724 -4.3507 3.88513
0.554 -23.5767 -4.34682 3.88137
0.555 -23.5811 -4.34294 3.87762
0.556 -23.5854 -4.33906 3.87386
0.557 -23.5898 -4.33519 3.87009
0.558 -23.5941 -4.33132 3.86633
0.559 -23.5984 -4.32746 3.86257
0.56 -23.6028 -4.3236 3.8588
0.561 -23.6071 -4.31974 3.85504
0.562 -23.6114 -4.31589 3.85127
0.563 -23.6157 -4.31204 3.8475
0.564 -23.62 -4.30819 3.84373
0.565 -23.6243 -4.30435 3.83996
0.566 -23.6286 -4.30051 3.83619
0.567 -23.6329 -4.29668 3.83241
0.568 -23.6372 -4.29285 3.82864
0.569 -23.6415 -4.28902 3.82486
0.57 -23.6458 -4.2852 3.82109
0.571 -23.6501 -4.28138 3.81731
0.572 -23.6544 -4.27756 3.81353
0.573 -23.6586 -4.27375 3.80975
0.574 -23.6629 -4.26995 3.80597
0.575 -23.6672 -4.26614 3.80219
0.576 -23.6714 -4.26234 3.7984
0.577 -23.6757 -4.25854 3.79462
0.578 -23.68 -4.25475 3.79084
0.579 -23.6842 -4.25096 3.78705
0.58 -23.6885 -4.24718 3.78327
0.581 -23.6927 -4.2434 3.77948
0.582 -23.6969 -4.23962 3.77569
0.583 -23.7012 -4.23584 3.7719
0.584 -23.7054 -4.23207 3.76811
0.585 -23.7096 -4.22831 3.76432
0.586 -23.7139 -4.22455 3.76053
0.587 -23.7181 -4.22079 3.75674
0.588 -23.7223 -4.21703 3.75295
0.589 -23.7265 -4.21328 3.74916
0.59 -23.7307 -4.20953 3.74537
0.591 -23.7349 -4.20579 3.74157
0.592 -23.7392 -4.20205 3.73778
0.593 -23.7434 -4.19832 3.73398
0.594 -23.7475 -4.19458 3.73019
0.595 -23.7517 -4.19085 3.72639
0.596 -23.7559 -4.18713 3.72259
0.597 -23.7601 -4.18341 3.7188
0.598 -23.7643 -4.17969 3.715
0.599 -23.7685 -4.17598 3.7112
0.6 -23.7727 -4.17227 3.7074
0.601 -23.7768 -4.16856 3.70361
0.602 -23.781 -4.16486 3.69981
0.603 -23.7852 -4.16117 3.69601
0.604 -23.7893 -4.15747 3.69221
0.605 -23.7935 -4.15378 3.68841
0.606 -23.7976 -4.15009 3.68461
0.607 -23.8018 -4.14641 3.68081
0.608 -23.8059 -4.14273 3.67701
0.609 -23.8101 -4.13906 3.67321
0.61 -23.8142 -4.13539 3.66941
